id,condition,task,trial_index,current_sac_contains_blink,current_sac_duration,current_sac_end_time,current_sac_index,current_sac_peak_velocity,current_sac_peak_velocity_time,current_sac_start_time,trial_saccade_total,trial_start_time
1,alcohol,,2,0.0,42.0,2158.625,4.5,287.865,126640.0,2117.625,8.0,124505.0
1,alcohol,,21,0.0,41.22222222222222,1895.6666666666667,5.0,222.6533333333333,212152.0,1855.4444444444443,9.0,210282.0
1,alcohol,,59,0.0,17.333333333333332,1983.8333333333333,3.5,71.28666666666668,387550.0,1967.5,6.0,385576.0
1,alcohol,,60,0.0,46.0,2193.0,2.5,339.15000000000003,392534.5,2148.0,4.0,390375.0
1,alcohol,,61,0.0,21.0,2816.0,2.0,69.07666666666667,397311.0,2796.0,3.0,394502.0
1,alcohol,,64,0.0,31.833333333333332,2643.8333333333335,3.5,128.035,410310.6666666667,2613.0,6.0,407689.0
1,alcohol,,67,0.0,14.5,2346.0,1.5,43.235,423290.5,2332.5,2.0,420949.0
1,alcohol,,68,0.0,30.666666666666668,2121.1666666666665,3.5,108.63833333333332,427196.3333333333,2091.5,6.0,425094.0
1,alcohol,,70,0.0,19.5,3176.5,3.5,83.30666666666667,436834.5,3158.0,6.0,433669.0
1,alcohol,,75,0.0,14.166666666666666,2827.5,3.5,60.87833333333333,458235.8333333333,2814.3333333333335,6.0,455416.0
1,alcohol,,76,0.0,19.0,3842.0,1.5,521.905,463793.5,3824.0,2.0,459959.0
1,alcohol,,80,0.0,18.5,1615.25,2.5,83.72,479438.25,1597.75,4.0,477832.0
1,alcohol,,88,0.0,19.0,2282.0,3.0,70.688,514245.0,2264.0,5.0,511974.0
2,alcohol,,1,0.0,17.0,695.0,2.0,92.49666666666667,87643.0,679.0,3.0,86955.0
2,alcohol,,49,0.0,38.81818181818182,1860.0,6.0,304.30727272727273,305147.0909090909,1822.1818181818182,11.0,303310.0
2,alcohol,,52,0.0,37.22222222222222,1965.7777777777778,5.0,283.95666666666665,317818.8888888889,1929.5555555555557,9.0,315874.0
2,alcohol,,61,0.0,7.0,3288.0,1.0,34.41,358007.0,3282.0,1.0,354723.0
2,alcohol,,64,0.0,17.75,3159.0,2.5,82.43,370448.25,3142.25,4.0,367298.0
2,alcohol,,67,0.0,30.0,3264.0,2.0,161.51666666666668,383397.3333333333,3235.0,3.0,380147.0
2,alcohol,,83,0.0,17.333333333333332,3578.0,2.0,111.45333333333333,454323.3333333333,3561.6666666666665,3.0,450755.0
2,alcohol,,94,0.0,36.0,2303.4,3.0,225.39600000000002,500273.0,2268.4,5.0,497992.0
4,alcohol,,1,0.0,32.5,2320.8571428571427,7.5,166.3607142857143,4291762.571428572,2289.3571428571427,14.0,4289462.0
4,alcohol,,2,0.0,21.88888888888889,2970.3333333333335,5.0,116.13555555555556,4296861.111111111,2949.4444444444443,9.0,4293903.0
4,alcohol,,3,0.0,38.0,2705.5,3.5,143.83666666666667,4302199.666666667,2668.5,6.0,4299521.0
4,alcohol,,4,0.0,23.625,1882.25,4.5,108.89,4306044.625,1859.625,8.0,4304176.0
4,alcohol,,12,0.0,34.77777777777778,3613.4444444444443,5.0,180.03,4345276.777777778,3579.6666666666665,9.0,4341681.0
4,alcohol,,15,0.0,22.5,2588.8333333333335,3.5,65.25833333333333,4360221.166666667,2567.3333333333335,6.0,4357645.0
4,alcohol,,19,0.0,24.333333333333332,1634.6666666666667,2.0,98.77666666666666,4377553.0,1611.3333333333333,3.0,4375933.0
4,alcohol,,24,0.0,35.333333333333336,2248.1666666666665,3.5,94.7,4402225.333333333,2213.8333333333335,6.0,4400000.0
4,alcohol,,27,0.0,21.0,2482.875,4.5,78.285,4417176.25,2462.875,8.0,4414706.0
4,alcohol,,28,0.0,21.5,2140.5,3.5,54.580000000000005,4421357.833333333,2120.0,6.0,4419232.0
4,alcohol,,30,0.0,18.285714285714285,2101.1428571428573,4.0,62.87285714285714,4431144.571428572,2083.8571428571427,7.0,4429055.0
4,alcohol,,37,0.0,20.0,3000.125,4.5,108.09500000000001,4465819.625,2981.125,8.0,4462830.0
4,alcohol,,44,0.0,24.875,2718.75,4.5,127.0525,4499374.0,2694.875,8.0,4496670.0
4,alcohol,,49,0.0,37.90909090909091,2026.7272727272727,6.0,253.07909090909087,4525653.454545454,1989.8181818181818,11.0,4523650.0
4,alcohol,,50,0.0,34.09090909090909,3442.5454545454545,6.0,241.63454545454545,4531455.090909091,3409.4545454545455,11.0,4528033.0
4,alcohol,,67,0.0,31.0,2329.5714285714284,4.0,174.41000000000003,4619028.285714285,2299.5714285714284,7.0,4616717.0
4,alcohol,,69,0.0,26.4,2383.2,5.5,152.874,4628686.9,2357.8,10.0,4626318.0
4,alcohol,,84,0.0,35.27272727272727,2560.4545454545455,6.0,210.65272727272725,4699356.0,2526.181818181818,11.0,4696816.0
4,alcohol,,89,0.0,27.77777777777778,2702.6666666666665,5.0,157.35222222222222,4725036.888888889,2675.8888888888887,9.0,4722350.0
1,baseline,,2,0.0,17.428571428571427,2013.0,4.0,63.16428571428571,253142.0,1996.5714285714287,7.0,251139.0
1,baseline,,28,0.0,10.8,2840.8,3.0,45.226,381345.0,2831.0,5.0,378510.0
1,baseline,,33,0.0,16.77777777777778,2128.6666666666665,5.0,78.5611111111111,405913.0,2112.8888888888887,9.0,403793.0
1,baseline,,34,0.0,21.444444444444443,1914.6666666666667,5.0,94.15444444444444,410287.1111111111,1894.2222222222222,9.0,408386.0
1,baseline,,35,0.0,73.66666666666667,2350.0,2.0,509.82,415118.3333333333,2277.3333333333335,3.0,412819.0
1,baseline,,36,0.0,15.625,2377.875,4.5,64.15499999999999,419588.0,2363.25,8.0,417219.0
1,baseline,,37,0.0,50.625,2230.25,4.5,340.39124999999996,423763.875,2180.625,8.0,421569.0
1,baseline,,38,0.0,16.0,1435.5714285714287,4.0,67.83857142857143,427472.5714285714,1420.5714285714287,7.0,426046.0
1,baseline,,40,0.0,42.833333333333336,1913.1666666666667,3.5,257.33833333333337,436307.8333333333,1871.3333333333333,6.0,434418.0
1,baseline,,43,0.0,45.142857142857146,2283.285714285714,4.0,159.15714285714284,449475.5714285714,2239.1428571428573,7.0,447227.0
1,baseline,,45,0.0,18.0,1979.25,4.5,69.95,459856.75,1962.25,8.0,457888.0
1,baseline,,46,0.0,14.428571428571429,2090.285714285714,4.0,56.54285714285714,464466.0,2076.8571428571427,7.0,462384.0
1,baseline,,47,0.0,20.77777777777778,2459.5555555555557,5.0,79.12111111111112,468832.3333333333,2439.777777777778,9.0,466385.0
1,baseline,,48,0.0,30.636363636363637,3447.4545454545455,6.0,105.00181818181818,474286.36363636365,3417.818181818182,11.0,470861.0
1,baseline,,59,0.0,49.54545454545455,2244.7272727272725,6.0,266.07909090909084,529971.2727272727,2196.181818181818,11.0,527758.0
1,baseline,,61,0.0,54.0,2148.5,6.5,394.065,539888.5833333334,2095.5,12.0,537774.0
1,baseline,,62,0.0,42.333333333333336,1967.0,3.5,203.11666666666667,544226.5,1925.6666666666667,6.0,542288.0
1,baseline,,66,0.0,87.5,2429.6,5.5,487.17800000000005,561802.0,2343.1,10.0,559421.0
1,baseline,,67,0.0,37.916666666666664,1878.0833333333333,6.5,198.64499999999998,566155.3333333334,1841.1666666666667,12.0,564301.0
1,baseline,,68,0.0,42.30769230769231,2424.6153846153848,7.0,317.11769230769227,571020.0769230769,2383.3076923076924,13.0,568620.0
1,baseline,,70,0.0,53.53846153846154,2102.5384615384614,7.0,257.64153846153846,579634.3076923077,2050.0,13.0,577567.0
1,baseline,,74,0.0,45.36363636363637,2281.3636363636365,6.0,326.59272727272725,597274.9090909091,2237.0,11.0,595021.0
1,baseline,,77,0.0,52.4,1981.2,5.5,235.467,611082.1,1929.8,10.0,609136.0
1,baseline,,78,0.0,36.7,2057.6,5.5,192.84700000000004,615282.7,2021.9,10.0,613249.0
1,baseline,,79,0.0,36.642857142857146,1960.0714285714287,7.5,204.90285714285713,619327.1428571428,1924.4285714285713,14.0,617389.0
1,baseline,,81,0.0,32.92307692307692,1841.076923076923,7.0,123.37846153846155,627982.0769230769,1809.1538461538462,13.0,626158.0
1,baseline,,82,0.0,34.92857142857143,2108.5714285714284,7.5,160.6042857142857,632660.5,2074.6428571428573,14.0,630574.0
1,baseline,,83,0.0,43.0,1964.8461538461538,7.0,173.52769230769232,636909.4615384615,1922.8461538461538,13.0,634975.0
1,baseline,,85,0.0,37.470588235294116,2161.1176470588234,9.0,209.65647058823527,646120.5882352941,2124.6470588235293,17.0,643983.0
1,baseline,,86,0.0,40.166666666666664,2308.0833333333335,6.5,221.96,650906.0833333334,2268.9166666666665,12.0,648621.0
1,baseline,,88,0.0,46.84615384615385,2321.769230769231,7.0,226.6392307692308,660261.0769230769,2275.923076923077,13.0,657966.0
1,baseline,,94,0.0,36.6875,1719.6875,8.5,173.13125000000002,687409.125,1684.0,16.0,685710.0
1,baseline,,95,0.0,46.666666666666664,1548.6666666666667,5.0,222.78444444444446,691452.6666666666,1503.0,9.0,689935.0
1,baseline,,96,0.0,36.166666666666664,1826.1666666666667,6.5,158.3725,695963.25,1791.0,12.0,694160.0
2,baseline,,2,0.0,37.90909090909091,1847.7272727272727,6.0,348.67090909090916,215036.36363636365,1810.8181818181818,11.0,213209.0
2,baseline,,3,0.0,39.25,1510.75,4.5,333.67875,218744.625,1472.5,8.0,217254.0
2,baseline,,4,0.0,41.5,1933.375,4.5,348.97875,223260.125,1892.875,8.0,221350.0
2,baseline,,7,0.0,31.75,1614.5833333333333,6.5,244.32583333333332,235255.33333333334,1583.8333333333333,12.0,233657.0
2,baseline,,9,0.0,43.0,1894.2222222222222,5.0,340.55111111111114,244259.55555555556,1852.2222222222222,9.0,242389.0
2,baseline,,10,0.0,37.55555555555556,1921.4444444444443,5.0,221.7511111111111,248377.11111111112,1884.888888888889,9.0,246476.0
2,baseline,,14,0.0,41.8,1863.9,5.5,303.4120000000001,265257.5,1823.1,10.0,263415.0
2,baseline,,15,0.0,34.0,1914.6666666666667,6.5,297.4025,269519.3333333333,1881.6666666666667,12.0,267622.0
2,baseline,,17,0.0,33.27272727272727,1813.6363636363637,6.0,264.5236363636364,278218.54545454547,1781.3636363636363,11.0,276421.0
2,baseline,,18,0.0,28.333333333333332,1702.6666666666667,3.5,195.79000000000005,282112.6666666667,1675.3333333333333,6.0,280424.0
2,baseline,,21,0.0,29.846153846153847,1982.7692307692307,7.0,236.99615384615385,294822.8461538461,1953.923076923077,13.0,292856.0
2,baseline,,25,0.0,34.666666666666664,1674.7777777777778,5.0,278.84999999999997,311821.55555555556,1641.111111111111,9.0,310165.0
2,baseline,,30,0.0,39.5,2122.5,3.5,275.89,332731.1666666667,2084.0,6.0,330630.0
2,baseline,,31,0.0,31.6,1878.1,5.5,206.72000000000003,336537.4,1847.5,10.0,334676.0
2,baseline,,32,0.0,33.81818181818182,1665.4545454545455,6.0,267.80181818181813,340370.8181818182,1632.6363636363637,11.0,338724.0
2,baseline,,33,0.0,31.53846153846154,1999.8461538461538,7.0,218.5707692307692,344595.1538461539,1969.3076923076924,13.0,342613.0
2,baseline,,35,0.0,27.642857142857142,2109.214285714286,7.5,203.78214285714284,352692.78571428574,2082.5714285714284,14.0,350598.0
2,baseline,,36,0.0,40.09090909090909,1977.0,6.0,276.29999999999995,357113.63636363635,1937.909090909091,11.0,355155.0
2,baseline,,37,0.0,32.72727272727273,1930.1818181818182,6.0,191.62727272727273,361307.7272727273,1898.4545454545455,11.0,359397.0
2,baseline,,39,0.0,37.23076923076923,2302.846153846154,7.0,297.29153846153844,370404.8461538461,2266.6153846153848,13.0,368122.0
2,baseline,,40,0.0,37.625,2116.75,4.5,309.69625,375220.125,2080.125,8.0,373125.0
2,baseline,,42,0.0,38.0,1685.888888888889,5.0,283.5744444444444,383142.44444444444,1648.888888888889,9.0,381477.0
2,baseline,,43,0.0,36.2,1698.0,5.5,254.29599999999996,387507.3,1662.8,10.0,385830.0
2,baseline,,44,0.0,48.63636363636363,1863.5454545454545,6.0,448.330909090909,391649.45454545453,1815.909090909091,11.0,389813.0
2,baseline,,47,0.0,43.15384615384615,2121.230769230769,7.0,371.99692307692305,405449.8461538461,2079.076923076923,13.0,403353.0
2,baseline,,48,0.0,37.4,1817.8,5.5,217.641,409754.1,1781.4,10.0,407957.0
2,baseline,,52,0.0,22.9,1615.6,5.5,207.82600000000002,434731.4,1593.7,10.0,433128.0
2,baseline,,53,0.0,17.75,1893.0,4.5,83.42875000000001,439343.375,1876.25,8.0,437460.0
2,baseline,,54,0.0,19.0,1161.0,3.0,102.63000000000002,442725.8,1143.0,5.0,441573.0
2,baseline,,57,0.0,25.9,1839.1,5.5,209.62300000000005,456567.7,1814.2,10.0,454740.0
2,baseline,,58,0.0,13.2,1526.6,3.0,63.44,460471.0,1514.4,5.0,458951.0
2,baseline,,68,0.0,18.142857142857142,1213.857142857143,4.0,88.59428571428573,503689.28571428574,1196.7142857142858,7.0,502484.0
2,baseline,,69,0.0,22.8,1392.5,5.5,187.17000000000002,508105.2,1370.7,10.0,506725.0
2,baseline,,72,0.0,29.333333333333332,1380.0,3.5,286.60499999999996,521551.5,1351.6666666666667,6.0,520182.0
2,baseline,,74,0.0,18.5,2236.5,3.5,89.71833333333332,530469.3333333334,2219.0,6.0,528242.0
2,baseline,,83,0.0,18.2,2559.8,3.0,77.19,570954.4,2542.6,5.0,568404.0
2,baseline,,88,0.0,17.714285714285715,2227.4285714285716,4.0,85.11999999999999,592349.2857142857,2210.714285714286,7.0,590131.0
2,baseline,,91,0.0,20.4,1980.6,5.5,102.184,604970.3,1961.2,10.0,603000.0
2,baseline,,93,0.0,24.333333333333332,1984.9166666666667,6.5,123.13833333333334,613035.25,1961.5833333333333,12.0,611061.0
2,baseline,,94,0.0,19.857142857142858,1965.7142857142858,4.0,86.79857142857145,617688.1428571428,1946.857142857143,7.0,615733.0
2,baseline,,96,0.0,27.0,2673.4285714285716,7.5,154.13142857142856,627222.4285714285,2647.4285714285716,14.0,624564.0
4,baseline,,15,0.0,14.75,1458.0,2.5,51.709999999999994,790146.5,1444.25,4.0,788695.0
4,baseline,,16,0.0,13.0,2192.2,3.0,38.92999999999999,795234.8,2180.2,5.0,793051.0
4,baseline,,24,0.0,21.285714285714285,2137.5714285714284,4.0,65.24714285714286,832659.7142857143,2117.285714285714,7.0,830535.0
4,baseline,,26,0.0,10.0,1892.5,1.5,42.495000000000005,842790.0,1883.5,2.0,840902.0
4,baseline,,29,0.0,17.285714285714285,2505.1428571428573,4.0,63.06,858297.2857142857,2488.8571428571427,7.0,855801.0
4,baseline,,37,0.0,22.0,2546.4,3.0,90.49,898786.0,2525.4,5.0,896253.0
4,baseline,,40,0.0,11.5,371.0,1.5,40.11,910211.0,360.5,2.0,909847.0
4,baseline,,45,0.0,17.2,2114.2,5.5,65.94000000000001,934432.4,2098.0,10.0,932327.0
4,baseline,,50,0.0,27.0,1870.6,3.0,149.554,973816.4,1844.6,5.0,971962.0
4,baseline,,52,0.0,25.125,3087.625,4.5,155.57125000000002,983961.25,3063.5,8.0,980886.0
4,baseline,,53,0.0,27.09090909090909,2387.6363636363635,6.0,160.85636363636365,987823.2727272727,2361.5454545454545,11.0,985450.0
4,baseline,,57,0.0,29.125,3302.25,4.5,173.44625,1008652.375,3274.125,8.0,1005367.0
4,baseline,,61,0.0,20.5,2500.6666666666665,3.5,99.63666666666666,1026036.8333333334,2481.1666666666665,6.0,1023547.0
4,baseline,,62,0.0,20.833333333333332,3060.6666666666665,3.5,143.25333333333333,1030928.0,3040.8333333333335,6.0,1027878.0
4,baseline,,63,0.0,18.4,2483.3,5.5,96.02600000000001,1035060.0,2465.9,10.0,1032586.0
4,baseline,,66,0.0,19.235294117647058,2362.176470588235,9.0,97.07529411764705,1048806.5294117648,2343.9411764705883,17.0,1046453.0
4,baseline,,69,0.0,20.3,2353.5,5.5,102.069,1062078.6,2334.2,10.0,1059736.0
4,baseline,,71,0.0,20.0,2720.9285714285716,7.5,97.87785714285714,1071277.5,2701.9285714285716,14.0,1068567.0
4,baseline,,74,0.0,19.22222222222222,2622.8888888888887,5.0,89.28555555555555,1085117.111111111,2604.6666666666665,9.0,1082503.0
4,baseline,,83,0.0,20.142857142857142,2212.8571428571427,4.0,97.73714285714287,1131410.7142857143,2193.714285714286,7.0,1129209.0
4,baseline,,86,0.0,19.615384615384617,2279.6153846153848,7.0,92.95846153846152,1144964.1538461538,2261.0,13.0,1142694.0
4,baseline,,90,0.0,24.529411764705884,3438.9411764705883,9.0,134.45529411764707,1165592.8823529412,3415.4117647058824,17.0,1162168.0
4,baseline,,92,0.0,25.647058823529413,2032.0588235294117,9.0,140.8135294117647,1176507.6470588236,2007.4117647058824,17.0,1174488.0
